,word,frequency
0,cigar,4.403842922329204e-06
1,rebut,4.685089010081356e-07
2,sissy,3.702401230043506e-07
3,humph,7.824350056750973e-08
4,awake,1.5834150872251485e-05
5,blush,4.844964792027895e-06
6,focal,7.64079425152886e-06
7,evade,2.2059265916141158e-06
8,naval,8.914618774724659e-06
9,serve,6.059606130293105e-05
10,heath,9.898165558297478e-07
11,dwarf,3.176082259415125e-06
12,model,0.00020030224186484702
13,karma,1.8897358984304446e-06
14,stink,1.8093811320341047e-06
15,grade,2.396929448877927e-05
16,quiet,5.315081034495961e-05
17,bench,1.3792639265375328e-05
18,abate,7.101609469373216e-07
19,feign,6.431658761130166e-07
20,major,0.00012120363317080773
21,death,0.00018132416880689561
22,fresh,5.133960712555563e-05
23,crust,4.807975528819952e-06
24,stool,7.1071202683015144e-06
25,colon,4.634373340195452e-06
26,abase,9.16054094801666e-08
27,marry,2.6927767976303585e-05
28,react,1.2612782256837818e-05
29,batty,9.841980386227078e-08
30,pride,2.5492117401881842e-05
31,floss,4.0604053452852895e-07
32,helix,1.7352240888612869e-06
33,croak,6.147095206188169e-07
34,staff,6.504207522084471e-05
35,paper,0.00010489772466826253
36,unfed,7.089458886611055e-08
37,whelp,2.024981178294638e-07
38,trawl,3.293553518801673e-07
39,outdo,4.2554544421591345e-07
40,adobe,6.735268698321306e-07
41,crazy,2.4388703877775697e-05
42,sower,3.042577887413245e-07
43,repay,3.7875585121582844e-06
44,digit,3.6837303696302115e-06
45,crate,1.937146322461558e-06
46,cluck,1.664762052655533e-07
47,spike,2.989127324326546e-06
48,mimic,3.4602309142428567e-06
49,pound,1.0717143140936969e-05
50,maxim,2.044221730557183e-06
51,linen,7.098197670529771e-06
52,unmet,8.612191777501721e-07
53,flesh,3.2815207759995246e-05
54,booby,5.279926185153272e-07
55,forth,5.348380636860384e-05
56,first,0.0007599351520184427
57,stand,8.5715830209665e-05
58,belly,1.4216084082363523e-05
59,ivory,3.931853882477299e-06
60,seedy,6.059158437210499e-07
61,print,2.3175941805675393e-05
62,yearn,8.933276518519051e-07
63,drain,8.11547101875476e-06
64,bribe,2.175888880628918e-06
65,stout,4.244414128606877e-06
66,panel,1.9314178189233644e-05
67,crass,5.372234568312706e-07
68,flume,2.3629664980262532e-07
69,offal,3.1027179403508853e-07
70,agree,4.063336746185087e-05
71,error,4.244238243700238e-05
72,swirl,1.909939982169817e-06
73,argue,3.6378753975441214e-05
74,bleed,2.7935266189160757e-06
75,delta,3.371894536030595e-06
76,flick,2.2140452529129107e-06
77,totem,7.769396717094423e-07
78,wooer,8.184970035074457e-08
79,front,0.000170676128618652
80,shrub,1.4282038023338828e-06
81,parry,3.7894665183557663e-07
82,biome,2.871916890967441e-07
83,lapel,5.58521207949525e-07
84,start,0.0001228287692356389
85,greet,5.8977391290682135e-06
86,goner,2.2618576522859257e-07
87,golem,3.555752172701432e-07
88,lusty,7.053467214745979e-07
89,loopy,1.868473411548166e-07
90,round,8.919561514630914e-05
91,audit,1.0856773542400333e-05
92,lying,3.931742776330793e-05
93,gamma,3.939951056963764e-06
94,labor,5.233697083895095e-05
95,islet,9.020301661166741e-07
96,civic,9.38090715862927e-06
97,forge,3.2610528251098003e-06
98,corny,3.564445307802089e-07
99,moult,2.3318536790384314e-07
